"grade","gender","school","dose","season","pre","alcohol","tobacco","marijuana","drugs","sleep","meals","contracts","parentcontracts","longtermeffect","impactonperformance","athletictraining","drinkinginjury","damagemusclefibers","testosterone","adequatesleep","agesstrongly.disagreeagree_disagreeagree","beforestrongly.disagree6","brainmessages","simpletasks","lostpotential","athleticcontractchoice","teammateaccountability","contractcoaches","contractparents","clearcontracts","faircontracts","coachesserious","coachcares","coachesexpectations","coachteamissues","coachesunity","coachescontactparents","coachesavoidsubstanceuse","coachencouragessleep","healthybalancedmeals","parentshealthychoices","parentsavoidatod","parentssleep","parentseathealthy","parentsseecoachasimportant","parentsaddresssensitiveissues","communityatod","communitysleep","communityeatinghabits","communitycharacterbuilding","communityrespectfulbehavior","leadersatod","leaderssleep","leadershelpothers","leadersplayerssleep","leadersplayerseat","socialnormsatod","socialnormsenoughsleep","socialnormseating","socialnormslifestylechoices","socialnormscontracts","socialnormscoachimportant","socialnormssensitivetopics","socialnormsensitivecoach"
"10","Female","Gorham",0,"Winter",0,1,1,1,1,5,5,3,3,5,5,4,4,5,4,2,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,4,4,2,4,4,4,4,4,4,4,4
"10","Male","Fall Mountain",0,"Winter",0,1,1,1,1,6,6,3,3,5,5,5,5,5,5,5,3,2,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,5,5,5,3,5,5,5
"9","Male","Fall Mountain",1,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"9","Male","Inter-Lakes",1,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"11","Male","Bishop Brady",0,"Winter",0,1,1,1,1,6,5,2,2,5,5,5,4,5,2,1,4,2,4,4,5,1,1,5,4,4,5,5,2,5,4,2,1,5,2,4,1,5,4,1,1,5,1,4,2,1,1,5,5,4,2,2,1,2,2,4,5,4,5,1
"11","Male","Fall Mountain",1,"Winter",0,1,1,1,1,7,7,3,3,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4
"11","Female","Portsmouth",1,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"11","Female","White Mountains",1,"Winter",0,1,1,1,1,6,5,3,3,4,4,4,4,4,4,2,4,5,4,2,4,2,2,2,2,4,4,4,2,4,2,2,2,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,2,1,4,2
"12","Male","Portsmouth",0,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"11","Male","Fall Mountain",1,"Winter",0,1,1,1,1,5,7,3,2,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,1,4,4,5,5,5,4,4,2,4,4,4,5,5,4,5,4,4,2,1,1,2,2,4,4,4,4,4,2,2,2,5,5,4,4,4
"10","Male","Portsmouth",1,"Winter",0,1,1,1,1,1,1,2,3,5,5,1,5,5,5,1,5,2,2,4,2,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
"12","Male","Portsmouth",1,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"12","Male","Portsmouth",0,"Winter",0,5,1,1,1,6,5,2,2,5,5,5,5,5,5,1,4,4,5,5,5,5,4,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,1,2,5,5,4,2,4,2,4,5,2,2,5,4,5,4,4,4
"12","Male","Pinkerton",0,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"12","Male","Portsmouth",0,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"9","Male","Gorham",0,"Winter",0,1,1,1,1,6,6,3,3,5,5,5,5,5,5,5,4,2,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,5,5,5,2,4,4,2,4,4,4,4,4,2,4,4,2,5,5,5,5,5
"10","Female","Berlin",1,"Winter",0,1,1,1,1,5,5,3,3,4,5,5,5,5,4,1,4,4,5,5,5,1,2,4,2,5,5,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,1,2,2,4,4,1,1,1,2,2,1,1,2,4,5,5,4,2
"9","Male","Inter-Lakes",1,"Winter",0,1,1,1,1,7,6,3,3,5,5,4,5,5,5,1,4,1,5,5,4,4,2,4,4,4,4,2,4,4,2,4,2,4,5,5,4,5,5,5,2,5,2,4,4,4,4,1,4,2,2,2,4,4,4,5,5,1,5,5
"10","Male","Inter-Lakes",1,"Winter",0,1,1,1,1,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"11","Female","Fall Mountain",1,"Winter",0,1,1,1,5,6,7,3,3,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5
"12","Female","Gorham",1,"Winter",0,5,1,1,1,6,5,3,3,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,4,4,4,5,5,5,5,5,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4
"9","Female","Gorham",0,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"11","Female","Gorham",1,"Winter",0,2,1,1,1,6,6,3,3,5,5,5,5,5,5,1,5,4,5,5,5,4,4,4,2,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
"9","Female","Gorham",1,"Winter",0,1,1,1,1,6,5,3,3,4,5,5,4,5,4,1,4,2,5,5,5,5,5,4,5,4,4,2,2,4,2,4,1,4,4,4,4,5,4,4,1,5,2,2,2,2,4,5,5,5,5,5,4,5,4,5,5,4,5,5
"11","Female","Gorham",0,"Winter",0,1,1,1,1,6,5,3,3,5,5,4,4,4,4,1,4,2,5,5,4,4,4,4,4,4,4,5,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4
"9","Female","Spaulding",1,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"10","Male","Portsmouth",1,"Winter",0,1,1,1,1,5,1,3,3,4,4,4,4,5,5,1,2,4,4,5,4,4,4,4,4,4,4,5,5,5,4,4,5,5,5,5,4,5,5,5,4,4,5,4,2,4,4,4,4,4,4,4,4,5,5,4,5,5,5,4
"10","Male","Portsmouth",1,"Winter",0,1,1,1,1,7,6,3,3,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"10","Male","Portsmouth",1,"Winter",0,5,1,7,2,5,2,2,2,4,2,4,2,4,2,4,2,5,2,4,1,1,1,1,2,1,1,4,5,4,4,4,4,4,4,4,1,2,4,4,4,4,1,4,4,2,4,1,1,1,1,1,1,1,1,1,1,5,5,5
"10","Male","Portsmouth",1,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"10","Male","Portsmouth",1,"Winter",0,1,1,1,1,6,6,3,3,1,1,1,1,1,1,1,1,1,4,1,4,5,2,5,5,5,5,5,5,4,4,5,4,5,4,4,4,4,5,5,5,5,5,2,4,4,4,1,4,1,1,1,2,4,4,4,4,4,4,4
"10","Male","Portsmouth",1,"Winter",0,1,1,5,1,5,1,1,3,4,4,2,2,4,2,5,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"9","Male","Portsmouth",0,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"9","Male","Portsmouth",1,"Winter",0,1,1,1,1,7,7,3,3,5,5,5,4,5,5,1,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5
"10","Male","Portsmouth",1,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"9","Male","Portsmouth",1,"Winter",0,1,1,1,1,7,7,3,3,5,4,2,1,4,4,1,2,2,4,4,1,2,4,4,4,4,4,5,5,5,5,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
"10","Male","Portsmouth",1,"Winter",0,1,1,1,1,5,5,2,2,5,4,5,2,4,4,2,2,4,2,2,4,5,4,4,4,4,4,4,4,5,5,5,4,5,2,4,4,5,5,5,4,5,4,4,4,4,4,4,5,4,4,4,2,4,4,4,4,4,5,5
"10","Male","Portsmouth",1,"Winter",0,1,1,1,1,5,5,1,3,5,5,4,2,2,4,1,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,4,5,5,5,4,4,5,5,5,4,5,5,5,4,4,5,5,5,4,5,5
"10","Male","Portsmouth",0,"Winter",0,1,1,1,1,7,7,3,3,4,5,5,5,4,4,1,5,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"10","Female","Spaulding",1,"Winter",0,1,1,1,1,1,1,2,2,5,5,4,2,5,5,2,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,5
"9","Male","Franklin",1,"Winter",0,1,1,1,1,6,6,3,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,2,4,5,5,5,5,5,5,5,5,5,2,4,2,4,2,5,5,5,5,5,5,5,5,5,5,5,2,5
"12","Male","Franklin",0,"Winter",0,2,1,2,1,7,6,3,3,4,4,2,4,4,4,1,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,2,2,2,4,2,4,4,4,4,4,2,4,4,4,4,5,4,4
"10","Male","Franklin",1,"Winter",0,1,1,7,1,7,7,3,3,5,5,4,4,4,2,1,4,4,1,4,5,4,2,4,2,4,4,4,4,5,2,4,4,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"10","Male","Newmarket",0,"Winter",0,1,1,1,1,5,7,3,3,5,5,5,4,5,5,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,2,2,2,5,5,5,5,5
"9","Male","Franklin",1,"Winter",0,1,1,1,1,6,6,3,3,4,4,4,2,2,4,2,4,2,2,2,4,4,2,2,4,2,4,4,4,2,4,2,4,2,2,2,2,2,4,4,2,4,4,2,2,4,2,4,2,4,2,4,4,4,4,2,4,2,4,4
"11","Male","Franklin",1,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"9","Male","Franklin",1,"Winter",0,1,1,1,1,1,1,3,3,5,5,5,5,5,5,1,4,2,5,5,5,1,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"12","Male","Franklin",1,"Winter",0,1,1,1,1,7,5,3,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"9","Male","Franklin",1,"Winter",0,1.19870759289176,1.1246963562753,1.20554649265905,1.12845528455285,2.03322528363047,5.32982171799028,2.80323886639676,2.75040518638574,3.66558966074313,3.66801292407108,3.41114701130856,3.37075928917609,3.52342487883683,3.39256865912763,1.65831987075929,3.11147011308562,2.82471728594507,3.5702746365105,3.58562197092084,3.40549273021002,3.03957996768982,3.19143780290792,3.44911147011309,3.30533117932149,3.49111470113086,3.48384491114701,3.70193861066236,3.59935379644588,3.62843295638126,3.50726978998384,3.4983844911147,3.16558966074313,3.57431340872375,3.61793214862682,3.60096930533118,3.31987075928918,3.65751211631664,3.59935379644588,3.55977382875606,3.24313408723748,3.5767366720517,2.89579967689822,3.05088852988691,3.08077544426494,3.30856219709208,3.29159935379645,3.42003231017771,3.33279483037157,3.36187399030695,3.36348949919225,3.36510500807754,2.71809369951535,2.91276252019386,2.98869143780291,3.5,3.55088852988691,3.39983844911147,3.43941841680129,3.31179321486268
"10","Male","Franklin",0,"Winter",0,1,1,1,1,6,7,3,3,4,4,2,4,2,4,2,4,2,4,4,4,2,2,4,4,4,5,5,5,5,5,5,4,4,2,2,5,4,4,4,4,4,2,2,2,4,4,4,2,4,2,2,4,4,4,5,4,4,4,4
"9","Male","Franklin",1,"Winter",0,2,1,1,1,6,6,3,,4,4,2,2,4,2,2,4,5,4,4,2,4,4,4,4,4,4,1,4,5,1,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,2,4,4,4,3,2,5,2
"11","Male","Exeter",1,"Winter",0,1,1,1,1,1,5,3,2,5,5,4,4,5,4,1,2,2,4,5,5,5,5,5,5,5,5,4,4,2,5,4,5,5,5,5,1,5,5,4,5,5,1,2,4,4,2,5,5,5,5,5,2,2,4,4,5,5,5,5
"11","Male","Exeter",1,"Winter",0,1,1,1,1,6,6,3,2,5,2,1,2,2,4,1,4,2,4,4,2,4,3,5,4,4,3,2,4,4,3,4,3,2,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,3,3,4,2
"11","Male","Exeter",0,"Winter",0,2,1,1,1,5,5,3,3,5,5,4,5,5,4,1,4,4,5,5,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,2,5,2,4,5,4,5,4
"12","Female","Exeter",0,"Winter",0,1,1,1,1,5,6,3,2,5,5,2,5,4,4,1,4,4,5,5,5,5,5,4,2,5,5,4,5,5,5,5,2,5,5,5,4,5,5,5,2,5,4,5,5,5,5,5,4,5,5,5,2,5,5,5,5,4,5,4
"10","Male","Portsmouth",0,"Winter",0,1,1,1,1,5,6,3,3,5,5,5,4,5,4,1,5,2,5,4,4,4,2,4,4,5,5,5,4,5,5,2,2,4,4,4,5,5,5,5,2,5,4,4,4,4,4,2,4,2,2,2,2,2,4,4,4,2,5,4
"12","Male","Portsmouth",0,"Winter",0,1,2,1,2,6,6,2,2,5,4,4,4,4,4,1,2,2,4,4,4,4,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4
"9","Male","Pinkerton",0,"Winter",0,1,1,1,1,5,5,3,3,5,5,5,5,5,5,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,4,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,5,5,5,4
"9","Male","Pinkerton",1,"Winter",0,1,1,1,1,5,5,3,3,5,5,5,5,5,5,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,4,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,5,5,5,4
"11","Male","Portsmouth",1,"Winter",0,1,2,1,1,5,6,3,3,5,5,5,5,5,5,1,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,2,4,5,5,4,4,4,4,4,2,2,2,5,5,5,5,5
"9","Female","Spaulding",1,"Winter",0,1,1,1,1,6,6,3,3,5,5,5,5,5,5,1,5,4,5,5,5,5,4,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,1,1,1,4,4,4,4,4,2,2,2,4,4,5,5,5
