grade,gender,school,longtermeffect,impactonperformance,athletictraining,drinkinginjury,damagemusclefibers,testosterone,adequatesleep,ages14_24,before16,brainmessages,simpletasks,lostpotential,athleticcontractchoice,teammateaccountability,contractcoaches,contractparents,clearcontracts,faircontracts,coachesserious,coachcares,coachesexpectations,coachteamissues,coachesunity,coachescontactparents,coachesavoidsubstanceuse,coachencouragesadequatesleep,healthybalancedmeals,parentshealthychoices,parentsavoidatod,parentsadequatesleep,parentseathealthy,parentsseecoachasimportant,parentsaddresssensitiveissues,communityatod,communityadequatesleep,communityeatinghabits,communitycharacterbuilding,communityrespectfulbehavior,leadersatod,leadersadequatesleep,leadershelpothers,leadersplayersadequatesleep,leadersplayerseat,socialnormsatod,socialnormsenoughadequatesleep,socialnormseating,socialnormslifestylechoices,socialnormscontracts,socialnormscoachimportant,socialnormssensitivetopics,socialnormsensitivecoach,alcohol,tobacco,marijuana,drugs,sleep,meals,contracts,parentcontracts,pre,fall.y.n,survey,season
12,Male,Newmarket,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,0 days,0 days,0 days,0 days,20-29 days,All 30 days,Yes,Yes,TRUE,,,fall
12,Male,Newmarket,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,20-29 days,20-29 days,Yes,Yes,FALSE,,,fall
10,Female,Newmarket,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,0 days,0 days,0 days,0 days,20-29 days,10-19 days,Yes,Yes,FALSE,,,fall
9,Female,Newmarket,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,20-29 days,20-29 days,Yes,Yes,FALSE,,,fall
11,Female,Newmarket,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,0 days,0 days,0 days,0 days,20-29 days,20-29 days,Yes,Yes,FALSE,,,fall
11,Female,Newmarket,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,3-5 days,All 30 days,Yes,Yes,FALSE,,,fall
11,Male,Newmarket,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,0 days,0 days,0 days,0 days,1-2 days,1-2 days,Not sure,Not sure,TRUE,,,fall
9,Female,Newmarket,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,All 30 days,0 days,0 days,3-5 days,10-19 days,Yes,Yes,TRUE,,,fall
10,Female,Newmarket,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,3-5 days,3-5 days,Yes,Yes,FALSE,,,fall
9,Female,Newmarket,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,3-5 days,All 30 days,Yes,Yes,TRUE,,,fall
11,Male,Newmarket,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,0 days,0 days,0 days,0 days,0 days,6-9 days,Yes,Yes,FALSE,,,fall
11,Male,Newmarket,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,0 days,10-19 days,0 days,20-29 days,6-9 days,Yes,Yes,FALSE,,,fall
10,Male,Newmarket,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,6-9 days,6-9 days,Yes,Yes,FALSE,,,fall
11,Male,Newmarket,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,0 days,0 days,All 30 days,0 days,All 30 days,All 30 days,Yes,Not sure,TRUE,,,fall
11,Female,Newmarket,Agree,Agree,Disagree,Agree,Agree,,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,0 days,0 days,0 days,0 days,0 days,All 30 days,Yes,Yes,FALSE,,,fall
11,Male,Newmarket,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,0 days,0 days,3-5 days,0 days,0 days,0 days,Yes,Yes,FALSE,,,fall
9,Male,Newmarket,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,0 days,0 days,Yes,Yes,FALSE,,,fall
9,Male,Newmarket,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,0 days,0 days,0 days,0 days,10-19 days,All 30 days,Yes,Yes,TRUE,,,fall
9,Male,Newmarket,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,20-29 days,20-29 days,Yes,Yes,FALSE,,,fall
9,Female,Newmarket,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,0 days,0 days,0 days,0 days,10-19 days,10-19 days,Yes,Yes,TRUE,,,fall
12,Male,Newmarket,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 days,0 days,6-9 days,0 days,All 30 days,All 30 days,Yes,Yes,TRUE,,,fall
11,Male,Newmarket,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,,Agree,0 days,0 days,0 days,0 days,10-19 days,6-9 days,Yes,Yes,FALSE,,,fall
10,Male,Newmarket,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,0 days,0 days,Yes,Yes,TRUE,,,fall
12,Male,Newmarket,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,3-5 days,0 days,1-2 days,0 days,1-2 days,All 30 days,Yes,Yes,TRUE,,,fall
9,Female,Newmarket,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,10-19 days,10-19 days,Yes,Not sure,FALSE,,,fall
11,Female,Newmarket,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,0 days,0 days,0 days,0 days,1-2 days,1-2 days,Yes,Yes,TRUE,,,fall
11,Male,Newmarket,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,0 days,0 days,0 days,0 days,All 30 days,All 30 days,Yes,Yes,TRUE,,,fall
10,Male,Newmarket,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,0 days,0 days,0 days,0 days,1-2 days,3-5 days,Yes,Yes,TRUE,,,fall
10,Male,Newmarket,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,6-9 days,3-5 days,Yes,Yes,TRUE,,,fall
11,Male,Newmarket,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,0 days,0 days,0 days,0 days,10-19 days,6-9 days,Yes,Yes,FALSE,,,fall
10,Male,Newmarket,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,0 days,0 days,0 days,0 days,6-9 days,6-9 days,Yes,Yes,FALSE,,,fall
9,Female,Newmarket,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,20-29 days,All 30 days,Yes,Yes,FALSE,,,fall
9,Male,Newmarket,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,0 days,10-19 days,,All 30 days,20-29 days,20-29 days,Yes,Yes,FALSE,,,fall
10,Female,Newmarket,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0 days,0 days,0 days,0 days,All 30 days,All 30 days,Yes,Yes,TRUE,,,fall
11,Male,Newmarket,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,0 days,0 days,0 days,0 days,6-9 days,6-9 days,Yes,Yes,FALSE,,,fall
12,Male,Newmarket,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,0 days,0 days,0 days,0 days,10-19 days,10-19 days,Yes,Yes,FALSE,,,fall
