Grade ,Gender,School,Dose,Season,Pre,Alcohol,Tobacco,Marijuana,Drugs,Sleep,Meals,Contracts,ParentContracts,longtermeffect,impactonperformance,athletictraining,drinkinginjury,damagemusclefibers,testosterone,adequatesleep,AgesStrongly DisagreeAgree_DisagreeAgree,BeforeStrongly Disagree6,Brainmessages,simpletasks,lostpotential,athleticcontractchoice,Teammateaccountability,contractcoaches,contractparents,clearcontracts,Faircontracts,coachesserious,coachcares,coachesexpectations,coachteamissues,coachesunity,coachescontactparents,coachesavoidsubstanceuse,coachencouragessleep,healthybalancedmeals,Parentshealthychoices,parentsavoidatod,parentssleep,parentseathealthy,parentsseecoachasimportant,parentsaddresssensitiveissues,communityatod,communitysleep,communityeatinghabits,communitycharacterbuilding,communityrespectfulbehavior,leadersatod,leaderssleep,leadershelpothers,leadersplayerssleep,leadersplayerseat,socialnormsatod,socialnormsenoughsleep,socialnormseating,socialnormslifestylechoices,socialnormscontracts,socialnormscoachimportant,socialnormssensitivetopics,socialnormsensitivecoach
9,Male,Epping,1,Fall,1,0 days,0 days,0 days,0 days,10-19 days,10-19 days,No,No,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Disagree,Disagree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Neither,Agree
9,Male,Epping,1,Fall,1,0 days,0 days,0 days,0 days,20-29 days,1-2 days,Not sure,Not sure,Neither,Agree,Agree,Agree,Neither,Disagree,Agree,Agree,Neither,Agree,Agree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Agree,Agree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Agree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Agree,Agree,Neither,Disagree,Disagree
9,Female,Campbell,1,Fall,1,0 days,0 days,0 days,0 days,0 days,20-29 days,Yes,Yes,Agree,Agree,Neither,Agree,Agree,Neither,Strongly Disagree,Neither,Disagree,Agree,Agree,Neither,Disagree,Agree,Agree,Neither,Agree,Agree,Neither,Agree,Agree,Agree,Neither,Neither,Agree,Agree,Neither,Neither,Agree,Agree,Agree,Neither,Agree,Neither,Agree,Neither,Neither,Neither,Agree,Neither,Agree,Agree,Neither,Disagree,Disagree,Neither,Agree,Agree,Neither,Neither,Neither
9,Male,Epping,1,Fall,1,0 days,0 days,0 days,0 days,0 days,10-19 days,Not sure,Not sure,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Neither,Agree,Agree,Agree,Agree,,,,,,Agree,Neither,Agree,Agree,Neither,Neither,Agree,Agree,Neither,Neither,Agree,Agree,Neither,,Neither,Neither,Agree,Neither,Neither,,Agree,Agree,Agree,Neither,Neither,Neither,Neither,Neither,Neither,Agree,Neither,Neither,Neither
9,Male,Lebanon,1,Fall,0,30 days,30 days,30 days,30 days,0 days,10-19 days,Yes,Yes,Agree,Neither,Agree,Agree,Neither,Neither,Strongly Disagree,Neither,Neither,Neither,Neither,Disagree,Disagree,,Neither,Neither,Neither,Neither,Agree,Neither,Agree,,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
9,Female,Campbell,1,Fall,1,0 days,0 days,0 days,0 days,0 days,20-29 days,Yes,Yes,Agree,Agree,Neither,Agree,Neither,Neither,Strongly Disagree,Neither,Neither,Neither,Agree,Agree,Agree,Neither,Neither,Neither,Agree,Agree,Agree,Neither,Neither,Agree,Agree,Neither,Neither,Neither,Neither,Neither,Agree,Neither,Agree,Neither,Agree,Neither,Disagree,Neither,Neither,Neither,Neither,Disagree,Neither,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neither,Disagree,Neither
9,Female,White Mountains,1,Fall,0,0 days,0 days,0 days,0 days,0 days,1-2 days,Not sure,Not sure,Neither,Agree,Neither,Neither,Agree,Disagree,Strongly Disagree,Neither,Agree,Neither,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Neither,Neither,Disagree,Agree,Agree,Neither,Strongly Disagree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Neither,Agree,Strongly Disagree,Disagree,Disagree
9,Male,Exeter,1,Fall,0,0 days,0 days,0 days,0 days,0 days,30 days,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree
9,Male,Pinkerton,1,Fall,1,0 days,0 days,0 days,0 days,0 days,20-29 days,Not sure,Not sure,Agree,Agree,Neither,Neither,Agree,Neither,Strongly Disagree,Neither,Disagree,Agree,Agree,Agree,Strongly Disagree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Strongly Disagree,Neither,Neither,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither,Neither,Neither,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Neither,Agree,Agree,Disagree,Neither,Neither
9,Male,Pinkerton,1,Fall,1,0 days,0 days,0 days,0 days,0 days,10-19 days,Yes,Yes,Neither,Neither,Neither,Disagree,Neither,Neither,Strongly Disagree,Disagree,Disagree,Agree,Agree,Neither,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Neither,Agree,Neither,Neither,Neither,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Neither,Disagree,Disagree,Neither,Agree,Agree,Neither,Neither
